Year,Foramt,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
2007,Test,5,96,192,5,19.2,50,30,0,0,13,0,77.6
2008,Test,15,414,874,14,29.6,47.4,96,2,0,52,1,75.1
2009,Test,6,205,271,5,41,75.6,96,1,0,26,1,60.9
2010,Test,14,464,786,14,33.1,59,100,2,1,68,4,73.9
2011,Test,9,451,667,9,50.1,67.6,144,4,1,52,0,62.1
2012,Test,4,205,283,4,51.2,72.4,97,2,0,23,2,60.4
2013,Test,8,270,419,6,45,64.4,81,3,0,26,3,62.8
2014,Test,10,424,655,9,47.1,64.7,137,3,1,54,3,66.6
2015,Test,7,294,470,5,58.8,62.6,89,2,0,35,3,67
2016,Test,4,106,214,4,26.5,49.5,41,0,0,10,1,71.5
2017,Test,14,665,956,14,47.5,69.6,217,3,2,87,1,63.5
2018,Test,7,213,363,7,30.4,58.7,80,2,0,25,0,66.4
2019,Test,2,55,74,2,27.5,74.3,44,0,0,6,0,59.5
2021,Test,4,167,339,4,41.8,49.3,68,2,0,18,0,70.5
2022,Test,11,338,532,11,30.7,63.5,84,4,0,32,8,66.2
2023,Test,1,87,94,1,87,92.6,87,1,0,14,0,57.4
2024,Test,9,155,284,8,19.4,54.6,36,0,0,17,1,69.4
2006,ODI,11,297,457,7,42.4,65,67,1,0,30,0,59.3
2007,ODI,17,305,538,15,20.3,56.7,57,3,0,22,3,63.9
2008,ODI,18,408,583,17,24,70,108,3,1,37,0,55.1
2009,ODI,17,671,632,13,51.6,106.2,105,4,2,62,14,41.6
2010,ODI,27,786,982,24,32.8,80,106,5,1,70,2,48.4
2011,ODI,19,564,786,17,33.2,71.8,79,5,0,39,3,50.8
2012,ODI,4,237,215,4,59.2,110.2,68,3,0,23,3,38.1
2013,ODI,3,53,61,3,17.7,86.9,34,0,0,4,0,39.3
2014,ODI,11,289,291,10,28.9,99.3,101,1,1,29,4,41.6
2015,ODI,14,421,468,10,42.1,90,63,4,0,40,3,46.6
2016,ODI,9,252,274,9,28,92,79,2,0,23,3,45.3
2017,ODI,12,430,521,12,35.8,82.5,114,3,1,42,2,48.9
2018,ODI,13,497,592,13,38.2,84,97,5,0,47,1,47.1
2019,ODI,11,746,778,8,93.2,95.9,124,7,2,70,4,41.8
2021,ODI,9,277,394,7,39.6,70.3,96,2,0,22,1,53
2022,ODI,9,235,285,8,29.4,82.5,77,1,0,23,3,51.6
2023,ODI,22,735,818,21,35,89.9,93,6,0,80,8,49.8
2007,T20I,5,67,56,5,13.4,119.6,19,0,0,7,1,39.3
2008,T20I,2,4,4,2,2,100,4,0,0,1,0,75
2009,T20I,3,32,33,3,10.7,97,17,0,0,4,0,48.5
2010,T20I,3,78,64,3,26,121.9,47,0,0,3,3,39.1
2011,T20I,2,7,15,2,3.5,46.7,7,0,0,0,0,66.7
2012,T20I,8,209,151,8,26.1,138.4,84,2,0,27,3,33.8
2013,T20I,2,105,68,2,52.5,154.4,65,1,0,14,3,36.8
2014,T20I,9,224,167,7,32,134.1,66,1,0,20,10,35.9
2015,T20I,3,91,85,2,45.5,107.1,57,1,0,10,1,41.2
2016,T20I,15,260,229,11,23.6,113.5,50,1,0,22,6,35.4
2017,T20I,7,120,108,7,17.1,111.1,41,0,0,11,0,31.5
2018,T20I,10,233,172,9,25.9,135.5,61,2,0,29,5,34.3
2019,T20I,4,96,70,3,32,137.1,70,1,0,11,1,25.7
2021,T20I,17,327,306,17,19.2,106.9,46,0,0,30,5,39.2
2022,T20I,15,349,270,14,24.9,129.3,70,3,0,32,9,30.7
2023,T20I,8,141,105,3,47,134.3,38,0,0,17,3,36.2
2024,T20I,11,169,159,10,16.9,106.3,64,1,0,16,3,39
